nodes,dijkstra,greedy,naive
395179,163.826203346,224.035608053,50.2569191456
370670,154.624080658,237.444512129,46.8068549633
359190,152.077698708,236.266582966,36.5270690918
332627,135.540890694,165.038891077,33.8067917824
319138,129.506397247,176.899971962,48.8645708561
298555,120.687413216,124.716332912,45.1804947853
278924,111.37149334,147.375394106,28.5457930565
258034,104.832005501,127.969717026,30.9935131073
237250,094.2920923233,107.815232992,27.1251358986
219143,086.4686012268,87.1387410164,24.3051931858
197556,077.8832912445,92.3818540573,22.1156229973
178654,072.4771022797,48.9090721607,18.3877940178
157393,060.5762958527,75.8089971542,16.2052481174
138406,054.1547060013,49.8616530895,13.2330288887
117848,045.2028989792,54.8210740089,10.402971983
98566,037.3831033707,25.0473270416,8.42252182961
