scale factor,time
scale factor,time
scale factor,time
scale factor,time
scale factor,time
scale factor,time
scale factor,time
<fastest_path.vehicle.EV instance at 0x10fd51dd0>,0.661952552796
con pct,time,fail rate
con pct,time,fail rate
con pct,time,fail rate
con pct,time,fail rate
<fastest_path.vehicle.EV instance at 0x11d118dd0>,0.314423321281,0
<fastest_path.vehicle.EV instance at 0x11d118e18>,0.628846642562,0
<fastest_path.vehicle.EV instance at 0x11d118e60>,0.943269963843,0
<fastest_path.vehicle.EV instance at 0x11d118ea8>,1.25769328512,0
<fastest_path.vehicle.EV instance at 0x11d118ef0>,1.5721166064,0
<fastest_path.vehicle.EV instance at 0x11d118f38>,1.88653992769,0
<fastest_path.vehicle.EV instance at 0x11d118f80>,2.20096324897,0
